
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
2C:36:F8:B8:B4:82, 2018-02-28 06:21:19, 2018-02-28 06:21:37,  6,  54, WPA2, CCMP, MGT, -87,       13,        0,   0.  0.  0.  0,   7, eduroam, 
2C:36:F8:B8:B4:81, 2018-02-28 06:21:19, 2018-02-28 06:21:37,  6,  54, OPN, ,   , -86,       11,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
2C:36:F8:B8:B4:85, 2018-02-28 06:21:19, 2018-02-28 06:21:38,  6,  54, OPN, ,   , -87,       16,        0,   0.  0.  0.  0,  10, UNLV-Setup, 
2C:36:F8:B8:B4:80, 2018-02-28 06:21:19, 2018-02-28 06:21:38,  6,  54, WPA2, CCMP, MGT, -87,       14,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
2C:36:F8:B8:B4:83, 2018-02-28 06:21:19, 2018-02-28 06:21:37,  6,  54, WPA2, CCMP,PSK, -86,        8,        0,   0.  0.  0.  0,   1, \x00, 
88:75:56:C6:C2:E5, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, OPN, ,   , -78,       14,        0,   0.  0.  0.  0,  10, UNLV-Setup, 
D4:A0:2A:14:68:A1, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, OPN, ,   , -77,       12,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
88:75:56:C6:C2:E0, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP, MGT, -78,       14,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
88:75:56:C6:C2:E2, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP, MGT, -78,       14,        0,   0.  0.  0.  0,   7, eduroam, 
88:75:56:C6:C2:E1, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, OPN, ,   , -78,       13,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
D4:A0:2A:14:68:A0, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP, MGT, -77,       13,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
88:75:56:C6:C2:E3, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP,PSK, -78,       15,        0,   0.  0.  0.  0,   1, \x00, 
D4:A0:2A:14:68:A2, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP, MGT, -77,       14,        0,   0.  0.  0.  0,   7, eduroam, 
D4:A0:2A:14:68:A5, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, OPN, ,   , -77,        9,        0,   0.  0.  0.  0,  10, UNLV-Setup, 
D4:A0:2A:14:68:A3, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  1,  54, WPA2, CCMP,PSK, -77,       11,        0,   0.  0.  0.  0,   1, \x00, 
D4:A0:2A:10:64:F2, 2018-02-28 06:21:19, 2018-02-28 06:21:37,  6,  54, WPA2, CCMP, MGT, -75,       21,        0,   0.  0.  0.  0,   7, eduroam, 
D4:A0:2A:10:64:F0, 2018-02-28 06:21:15, 2018-02-28 06:21:38,  6,  54, WPA2 OPN, CCMP, MGT, -76,       22,        1,   0.  0.  0.  0,  11, UNLV-Secure, 
D4:A0:2A:10:64:F1, 2018-02-28 06:21:19, 2018-02-28 06:21:37,  6,  54, OPN, ,   , -76,       20,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
D4:A0:2A:10:64:F3, 2018-02-28 06:21:19, 2018-02-28 06:21:38,  6,  54, WPA2, CCMP,PSK, -75,       19,        0,   0.  0.  0.  0,   1, \x00, 
D4:A0:2A:10:64:F5, 2018-02-28 06:21:19, 2018-02-28 06:21:38,  6,  54, OPN, ,   , -75,       12,        0,   0.  0.  0.  0,  10, UNLV-Setup, 
0C:85:25:AA:A7:13, 2018-02-28 06:21:23, 2018-02-28 06:21:37, 11,  54, WPA2, CCMP,PSK, -73,        8,        0,   0.  0.  0.  0,   1, \x00, 
0C:85:25:AA:A7:12, 2018-02-28 06:21:18, 2018-02-28 06:21:37, 11,  54, WPA2, CCMP, MGT, -72,        8,        0,   0.  0.  0.  0,   7, eduroam, 
